recipe_name,description,ingredients,instructions,serving_yield,calories_per_serving_kcal,fat_per_serving_g,cholesterol_per_serving_mg,protein_per_serving_g,carbohydrate_per_serving_g,fiber_per_serving_g,sugar_per_serving_g,sodium_per_serving_mg,kalium_per_serving_mg,detail_url,image_url,health_category
Pizza,Pizza lezat dengan sosis dan daging sapi yang bisa Anda bagikan dengan semua orang.,"5 gram ragi, 1 sdm margarin, 1 sdm mayones ringan, 20 gram gula pasir, 100 gram bawang bombay, 1/2 cup spaghetti sauce, 150 g tepung segitiga biru, 3 porsi beef frank, 1 porsi sosis bratwurst","Campur air hangat dengan ragi dan gula., Tambahkan tepung terigu dan margarin. Aduk rata dan uleni adonan hingga kalis. Diamkan selama 1 jam hingga mengembang., Gulung adonan, taruh di atas loyang dan tusuk dengan garpu., Oleskan saus spageti. Tambahkan irisan sosis, daging sapi, mayones dan bawang bombay. Taburi dengan peterseli dan oregano, jika diinginkan., Diamkan selama 15 menit selagi oven dipanaskan terlebih dahulu., Panggang dalam oven selama 30 menit dengan suhu 140°C.",8,144.0,3.81,6.0,6.25,21.91,0.7,4.34,144.0,31.0,https://www.fatsecret.co.id/resep/56269785-pizza/Default.aspx,https://m.ftscrt.com/static/recipe/8b15978d-2f68-470f-8777-9e251d080bfa_sq.jpg,Healthy
Sup Sosis dengan Sayuran,Hidangan lezat dan rendah kalori.,"1 besar telur, 100 gram buncis, 100 gram wortel, 65 g sosis sapi & ayam","Rebus air secukupnya lalu masukkan irisan sayuran., Masukkan irisan sosis dan telur kocok., Bumbui sesuai keinginan dan masak selama 5 menit.",1,256.0,11.33,212.0,19.04,21.09,6.2,6.32,745.0,596.0,https://www.fatsecret.co.id/resep/64613063-sup-sosis-dengan-sayuran/Default.aspx,https://m.ftscrt.com/static/recipe/c699f3a9-85c4-4433-8630-e1f3a0f22096_sq.jpg,Healthy
Bubur Oatmeal Asin,Bagi mereka yang ingin membumbui sarapan oatmeal biasa mereka.,"1/2 besar telur rebus, 1/4 mangkok jamur dimasak (lemak tidak ditambahkan dalam masakan), 1/2 sdt garam, 1/2 sdm seledri, 1 sdm, cincang daun bawang (loncang), 1/4 sosis ayam, 0,5 g royco ayam, 35 g instant oatmeal grain, 0,75 g lada putih bubuk, 1 irisan tipis ayam","Nyalakan kompor., Masukkan oatmeal ke teflon dan tambahkan air panas, aduk jangan sampai terlalu encer., Tambahkan garam, lada, daun bawang, dan penyedap rasa, aduk., Hias bubur dengan topping., Koreksi rasa, jika sudah pas, tuang ke mangkuk., Tambahkan air lagi sedikit demi sedikit sambil diaduk sampai tekstur seperti bubur., Selamat menikmati.",1,223.0,7.99,118.0,12.26,27.49,4.2,1.34,1549.0,228.0,https://www.fatsecret.co.id/resep/43193946-bubur-oatmeal-asin/Default.aspx,https://m.ftscrt.com/static/recipe/a01980be-616d-4107-a203-a94d7b2cf85a_sq.jpg,Unhealthy
Tahu Dihancurkan dengan Telur Orak Arik,Hidangan untuk makan siang dengan s rendah.,"16 gram cabai merah atau rawit, 10 gram bawang putih, 30 gram daun bawang, 2 sdm minyak goreng, 232 gram tahu, 35 gram bawang bombay, 110 gram telur","Tuangkan minyak, kemudian tumis bawang putih, bawang bombay, dan rawit., Setelah berwarna sedikit kecoklatan, masukkan telur dan diorak arik., Tambahkan tahu dan hancurkan. Tuangkan air secukupnya., Bumbui sesuai selera., Masukkan bawang daun dan sajikan.",4,156.0,11.34,116.0,8.91,6.43,1.6,1.55,48.0,221.0,https://www.fatsecret.co.id/resep/64589067-tahu-dihancurkan-dengan-telur-orak-arik/Default.aspx,https://m.ftscrt.com/static/recipe/f704a1d7-3b38-46aa-bf1e-4c7f58e831d0_sq.jpg,Healthy
Semur Tahu,Rebusan tahu ini mengenyangkan dan sangat bergizi.,"2 siung bawang putih, 1 utuh sedang tomat merah, 1 gelas air, 3 kecil bawang merah, 100 gram tahu, 2 sdm kecap manis, 2 sendok saus sambal, 1 takaran royco ayam, 1 sendok makan minyak goreng sawit, 20 gram cabai merah besar","Dalam wajan panas dengan minyak, tumis bawang putih, bawang merah, dan cabai merah., Tambahkan tomat cincang, air dan kecap., Terakhir masukkan tahu dan saus sambal. Campur dengan baik., Masak hingga kental dan tambahkan royco. Aduk dan pindahkan ke dalam mangkuk.",2,212.0,7.22,0.0,5.84,32.8,2.5,21.27,860.0,394.0,https://www.fatsecret.co.id/resep/55371138-semur-tahu/Default.aspx,https://m.ftscrt.com/static/recipe/4f948cfc-5dc3-4448-9dd5-a4fe7fa1c8de_sq.jpg,Unhealthy
Rolade Sehat,"Rolade sehat no minyak, no tepung gluten .","100 gram dada ayam, 4 besar telur, 1 sdt minyak wijen, 200 gram wortel, 1/2 sdm minyak goreng, 130 gram tahu, 50 ml susu uht full cream, 40 g rolled oat, 15 ml kecap asin","Campur semua bahan dengan chopper, kecuali 3 telur dan susu. Beri penyedap rasa, campur sampai rata., Kocok 3 telur dengan susu, dadar di teflon anti lengket., Lalu di bentuk seperti rolade dan kukus. Sudah siap disajikan.",40,24.0,1.21,23.0,1.84,1.37,0.2,0.32,42.0,34.0,https://www.fatsecret.co.id/resep/47664410-rolade-sehat/Default.aspx,https://m.ftscrt.com/static/recipe/60585fe8-d7a8-4d88-a2c6-8fb7e5544ff6_sq.jpg,Healthy
Tahu Goreng Telur,Ini sangat mudah dibuat dan merupakan hidangan pembuka yang enak serta hidangan utama dengan nasi.,"2 sedang telur, 1 sdm cabai merah atau rawit, 5 sdt garam, 2 siung bawang putih, 4 sedang bawang merah, 250 gram tahu, 1 takaran royco ayam, 125 ml minyak goreng 2x penyaringan","Haluskan bawang merah, bawang putih, dan cabai. Campur mereka dengan baik., Tahu dihaluskan lalu masukkan semua bahan kecuali minyak., Panaskan minyak dalam wajan dan goreng sampai berwarna cokelat keemasan.",8,188.0,16.69,46.0,4.51,6.92,1.1,2.65,1544.0,148.0,https://www.fatsecret.co.id/resep/55291385-tahu-goreng-telur/Default.aspx,https://m.ftscrt.com/static/recipe/3f634a4d-0188-4752-b68d-37ef262910d3_sq.jpg,Unhealthy
Tahu Kol,Kubis gulung dengan tahu dan sayuran di dalamnya.,"107 gram telur, 7 gram kaldu jamur, 1 1/2 sdt bawang putih bubuk, 50 gram buncis, 75 gram wortel, 350 gram sawi putih, 129 gram tempe, 1 1/2 sdt garam laut, 271 gram tahu, 10 g tepung pati jagung, 45 g tepung tapioka, 3 g lada putih bubuk","Aduk semua bahan., Rebus kol., Masukan bahan ke kol., Lipat kol dengan rapi., Kukus kurleb 30 menit.",42,20.0,0.97,11.0,1.58,1.45,0.1,0.33,92.0,40.0,https://www.fatsecret.co.id/resep/45578833-tahu-kol/Default.aspx,https://m.ftscrt.com/static/recipe/09b0eaac-f3f8-401a-9b92-31df845d0016_sq.jpg,Healthy
Perdekel Tahu Bawang,Campuran tahu dan bawang panggang yang harum.,"1 besar telur, 10 gram bawang putih, 10 gram daun bawang, 15 gram bawang merah, 150 gram tahu, 1 sdm virgin coconut oil","Iris bawang-bawangan, kemudian panggang hingga harum., Hancurkan tahu, tambahkan bawang-bawangan., Masukan telur ke dalam adonan tahu., Tambahkan garam, merica, dan kaldu jamur., Panaskan 1sdm vco di teflon anti lengket., Mulai dry frying adonan, kurleb 1 sdm adonan setiap goreng perkedel., Tunggu hingga ke coklatan, dan angkat. Perkedel siap dinikmati.",8,42.0,3.44,26.0,2.4,1.22,0.1,0.27,11.0,40.0,https://www.fatsecret.co.id/resep/46995655-perdekel-tahu-bawang/Default.aspx,https://m.ftscrt.com/static/recipe/06ce6870-d0f4-4185-84c8-c051b48e69fc_sq.jpg,Healthy
Omlete Tahu Telur,Sarapan yang mudah dan penuh protein.,"1 besar telur, 1 sdt garam, 100 gram tahu, 1 sendok makan minyak goreng sawit","Hancurkan tahu dalam mangkuk., Kocok telur, campur dengan tahu dan bumbui dengan garam., Masukkan minyak ke dalam wajan., Goreng hingga matang.",1,232.0,18.92,212.0,14.26,2.48,0.3,0.81,2405.0,185.0,https://www.fatsecret.co.id/resep/62143373-omlete-tahu-telur/Default.aspx,https://m.ftscrt.com/static/recipe/ee89885c-8bf7-440a-872e-b47c2063843f_sq.jpg,Unhealthy
Shakshuka,Telur dengan saus tomat.,"2 besar telur, 1 siung bawang putih, 2 besar utuh tomat merah, 1 sdm saus tomat, 100 gram bawang bombay, 50 gram jamur kancing","Kupas kulit tomat, lalu di cincang/blender. Cincang bawang putih dan bawang bombay, dan jamur champignon., Tumis bawang bombay dan bawang putih hingga layu, tambahkan jamur tumis lagi hingga jamur berubah warna, masukkan pure tomat, saos tomat dan air. Tambahkan Garam, lada, dan bumbu pilihan lainnya., Tambahkan telur, tutup pan hingga telur matang., Makanan siap dihidangkan.",1,283.0,11.0,423.0,18.65,31.06,6.3,18.69,331.0,1362.0,https://www.fatsecret.co.id/resep/52169205-shakshuka/Default.aspx,https://m.ftscrt.com/static/recipe/fb98f709-9289-43bc-8dc8-4d043c9867d9_sq.jpg,Unhealthy
Tempe Goreng,Tempe digoreng dengan air fryer.,"1 sdt garam, 1 siung bawang putih, 100 gram tempe","Iris tempe tipis tipis., Beri bumbu bawang putih dan garam., Lumuri bumbu dan masukkan ke air fryer dengan suhu 200°C waktu 20 menit.",8,25.0,1.35,0.0,2.34,1.3,0.0,0.0,292.0,53.0,https://www.fatsecret.co.id/resep/53042730-tempe-goreng/Default.aspx,https://m.ftscrt.com/static/recipe/d4e86393-78a7-4547-9b27-1b858e29b379_sq.jpg,Unhealthy
Tempe Kecap,Sangat cocok sebagai lauk.,"2 siung bawang putih dimasak, 3 sdm cabai merah atau rawit, 1 sdt garam, 100 gram tempe, 2 kecil bawang merah, 1 sdm minyak goreng, 2 sdm kecap manis","Kupas bawang merah, bawang putih bawang putih dan cincang halus bersama cabai, Panaskan minyak. Tumis bumbu sampai harum, Masukan air, garam secukupnya, dan kecap manis, Masukan tempe yang udah dipotong dadu, Aduk-aduk hingga air susut",1,489.0,23.68,0.0,22.38,56.79,6.4,29.98,3005.0,1043.0,https://www.fatsecret.co.id/resep/53683406-tempe-kecap/Default.aspx,https://m.ftscrt.com/static/recipe/082cfdd8-bbd1-4a46-a40c-e05649259d3a_sq.jpg,Unhealthy
Oseng Cabe Tahu Tempe,Ini adalah hidangan sederhana namun lezat dan kaya protein.,"200 gram cabai merah atau rawit, 10 buah tahu goreng, 8 kecil bawang merah, 1 sdm minyak goreng, 10 buah tempe goreng","Goreng tahu dan tempe dengan minyak, sampai setengah matang, kemudian angkat tiriskan., Tumis bawang merah dengan sisa minyak goreng tadi, masak sampai setengah makan., Masukkan irisan cabe, masak sampai setengah matang,., Masukkan gorengan tempe dan tahu, tambahakan garam secukupnya. Siap disajikan.",5,330.0,18.81,0.0,14.3,40.29,13.5,9.69,103.0,1099.0,https://www.fatsecret.co.id/resep/60457134-oseng-cabe-tahu-tempe/Default.aspx,https://m.ftscrt.com/static/recipe/cea1375a-fe97-474b-bfd1-06c7d4fd2b13_sq.jpg,Healthy
Steak Tempe,Steak tempe dengan kentang dan sayuran.,"1 sedang wortel dimasak, 1 sdt garam, 60 gram buncis, 2 siung bawang putih, 1 1/2 kentang (daging, tanpa garam, direbus), 50 ml air, 200 gram tempe, 2 sdm minyak goreng, 1 1/2 sdm kecap manis, 3 sdm saus sambal, 3 g lada putih bubuk","Kukus tempe, wortel, buncis, dan kentang selama 15. Setelah 15 menit angjat semua bahan., Setelah tempe dikukus, ulek tempe lalu tambahkan 1.5 sdm kecap manis dan 1 sdt garam, lalu bentuk tempe menjadi bulat, lalu panggang steak tempe dengan sedikit minyak sampai steak tempe berubah warna kecoklatan, lalu angkat dan siapkan di piring yang sudah ditata dengan buncis, wortel, dan kentang yang tadi sudah di kukus., Untuk bumbunya cincang 2 sium bawang putih, lalu tumis dengan sedikit minyak, lalu masukkan 3 sdm saus sambal abc, tambahkan 50 ml air dan 1 sdt lada bubuk putih. Saus siap untuk di hidangkan di atas steak tempe.",1,992.0,43.64,0.0,43.39,113.09,7.5,37.75,4138.0,1878.0,https://www.fatsecret.co.id/resep/42643514-steak-tempe/Default.aspx,https://m.ftscrt.com/static/recipe/5905c699-0809-4d8c-b364-dac48f954d89_sq.jpg,Unhealthy
Tempe Tahu Orek,Dimasak dengan saus pedas manis yang lezat.,"16 gram bawang putih, 132 gram tempe, 166 gram tahu goreng, 25 gram bawang merah, 45 ml minyak goreng, 90 ml kecap manis, 30 g saus sambal","Potong potong tempe, dan tahu goreng., Iris bawang merah dan bawang putih., Panaskan minyak kemudian tumis bawang merah dan bawang putih yang sudah di iris tipis., Setelah bawang merah dan bawang putih setengah matang masukkan tempe kemudian goreng hingga tempe setengah matang., Masukkan tahu, kemudian aduk dan masukkan kecap dan sambal masak hingga matang.",305,5.0,0.29,0.0,0.18,0.39,0.0,0.22,7.0,3.0,https://www.fatsecret.co.id/resep/52392266-tempe-tahu-orek/Default.aspx,https://m.ftscrt.com/static/recipe/5cbb7046-4610-454b-88c4-266719105876_sq.jpg,Unhealthy
Bakso Tempe,Bakso tempe sehat kaya protein.,"100 gram telur rebus, 5 gram kaldu jamur, 1 sdt lada hitam, 3 sdt garam, 22 gram bawang putih, 200 g tepung tapioka, 252 gram tempe kukus","Kukus tempe 15 menit., Hancurkan tempe dan masukkan semua bahan, aduk sampai kalis., Bentuk bulat tempe dan rebus 15 menit sampai mengambang.",20,32.0,1.18,21.0,1.42,4.02,0.1,1.57,367.0,22.0,https://www.fatsecret.co.id/resep/bakso-tempe/Default.aspx,https://m.ftscrt.com/static/recipe/781ca47e-8f3f-4cb0-823a-6af901808ea0_sq.jpg,Unhealthy
Kangkung Tumis,Makan siang bergizi.,"1 sdm cabai merah atau rawit, 1 siung bawang putih, 1 irisan tomat merah, 1 kecil bawang merah, 3 sdm minyak goreng, 300 gram kangkung, 100 g saus tiram, 23 g saus tiram","Iris kangkung dan bahan lain nya pisahkan., Tumis bahan., Lalu masukan kangkung, Saori dan sedikit air., Tunggu sampai kangkung masak dan siap disajikan.",1,450.0,32.4,0.0,10.93,35.27,9.1,5.51,215.0,1761.0,https://www.fatsecret.co.id/resep/39800325-kangkung-tumis/Default.aspx,https://m.ftscrt.com/static/recipe/412f55e6-de55-4504-b6fe-03a7bf1a7aef_sq.jpg,Healthy
Tumis Kangkung,Dipasangkan dengan sempurna dengan hidangan apa pun.,"1/2 gram cabai merah atau rawit, 10 gram bawang putih, 9 gram bawang merah, 3 ml minyak goreng, 60 gram kangkung","Tumis bawang merah dan bawang putih smpai harum dalam minyak goreng., Masukan cabai dan kangkung., Tumis hingga layu.",1,58.0,3.09,0.0,2.29,6.41,1.6,0.76,44.0,357.0,https://www.fatsecret.co.id/resep/54606762-tumis-kangkung/Default.aspx,https://m.ftscrt.com/static/recipe/dd44fafb-7c78-4a53-bdf6-b34c952f060e_sq.jpg,Healthy
Cah Kangkung Ala,Bayam dan telur dengan lada cayenne.,"1 besar telur, 5 gram cabai merah atau rawit, 2 siung bawang putih, 2 kecil bawang merah, 1 sdm minyak goreng, 59 gram kangkung","Panaskan minyak, masukkan bamer baput., Tunggu hingga harum, masukkan kangkung dan cabe rawit., Tambahkan sedikit air., Tumis kangkung hingga masak dan tidak layu.",1,260.0,16.17,212.0,10.04,21.22,4.6,7.17,118.0,683.0,https://www.fatsecret.co.id/resep/49294239-cah-kangkung-ala/Default.aspx,https://m.ftscrt.com/static/recipe/fc8ee1f0-1f60-4c5a-84ce-c5ca87b0aad7_sq.jpg,Healthy
Tumis Toge,"Hidangan sehat, mudah, dan super lezat yang hanya membutuhkan waktu beberapa menit untuk membuatnya.","100 gram kecambah, 2 siung bawang putih, 1 takaran royco ayam","Iris bawang putih dan tumis di atas api yang panas tanpa minyak., Tambahkan taoge dan penyedap rasa sesuai selera. Campur dengan baik., Tumis hingga matang.",1,38.0,0.51,0.0,3.97,6.67,2.3,1.9,567.0,132.0,https://www.fatsecret.co.id/resep/55489922-tumis-toge/Default.aspx,https://m.ftscrt.com/static/recipe/fe535711-e70c-49d7-b96b-4e6df5ea9249_sq.jpg,Unhealthy
Tumis Sayuran,"Hidangan rendah kalori, kaya nutrisi.","1 sejumput lada hitam, 140 gram buncis, 100 gram wortel, 120 gram kembang kol, 3 siung bawang putih, 1 sejumput garam laut, 1 1/2 sdm saos tiram, 60 gram bawang bombay","Potong sayuran menjadi potongan-potongan kecil., Tumis bawang putih dan bawang bombay dalam wajan antilengket., Perlahan tambahkan sisa bahan. Masak hingga empuk.",2,80.0,0.31,0.0,3.48,18.12,5.8,6.71,354.0,556.0,https://www.fatsecret.co.id/resep/58002098-tumis-sayuran/Default.aspx,https://m.ftscrt.com/static/recipe/24c9d481-ed55-4da8-9e6a-8bf9e1937d14_sq.jpg,Unhealthy
Tumis Kubis,Lauk sayuran rendah kalori.,"400 gram kubis hijau, 30 gram cabai merah atau rawit, 20 gram bawang putih, 1 kecil utuh tomat merah, 20 gram gula merah, 45 gram bawang merah, 3 g kaldu jamur, 1/2 sdm saus tiram, 2 gram udang rebon","Potong sayuran sesuai ukuran yang diinginkan., Tumis bawang merah dan bawang putih dalam wajan yang diolesi sedikit minyak., Tambahkan bahan lainnya satu per satu., Tuang air secukupnya dan tutup. Masak hingga matang.",4,89.0,1.55,0.0,3.4,19.17,4.9,10.8,139.0,505.0,https://www.fatsecret.co.id/resep/65355205-tumis-kubis/Default.aspx,https://m.ftscrt.com/static/recipe/17dcae94-b8d0-4236-bb60-e9047d920177_sq.jpg,Unhealthy
Tumis Brokoli Udang,"Brokoli dan udang rendah kalori, bagus untuk diet menurunkan berat badan.","100 gram udang, 2 mangkok, dicincang brokoli, 1 siung bawang putih, 1 sdm minyak zaitun","Tumis bawang putih menggunakan minyak zaitun hingga harum., Masukan udang, masak hingga berubah warna, beri sedikit air, masukan garam dan lada., Masukan brokoli, tumis hingga matang.",1,329.0,16.54,206.0,32.91,14.31,4.8,3.12,674.0,763.0,https://www.fatsecret.co.id/resep/tumis-brokoli-udang/Default.aspx,https://m.ftscrt.com/static/recipe/f0659101-386f-4cea-9bd4-94ba416a4ec7_sq.jpg,Healthy
Udang Tumis Brokoli,Udang dan brokoli yang lezat.,"250 sedang udang, 3 sdt bubuk cabai, 1 sdm bawang putih bubuk, 1 sdt garam, 150 gram brokoli, 10 g bawang merah goreng, 2 g royco ayam, 1 sdm kecap manis, 10 gram bawang bombay","Rebus udang sampai setengah matang dgn air., Masukkan brokoli dan bumbu., Rebus sehingga cukup air.",6,334.0,5.72,429.0,58.79,8.87,1.2,2.95,1845.0,504.0,https://www.fatsecret.co.id/resep/51932644-udang-tumis-brokoli/Default.aspx,https://m.ftscrt.com/static/recipe/e6865564-f148-4263-9fb1-fc0d8796a518_sq.jpg,Healthy
Udang Nori,"Camilan gurih, juicy, dan rendah kalori.","70 gram udang, 1/2 sdt garam, 2 sdt minyak wijen, 20 gram wortel, 20 gram daun bawang, 1 takaran stevia sweetener, 1 bungkus rumput laut panggang (nori), 1 porsi kaldu jamur, 1 takaran lada putih bubuk","Siapkan bahan, cincang udang dan bawang daun serta parut wortel dengan parutan keju., Masukan semua bahan kedalam wadah beri minyak jijen dan bumbu penyedap( garam, merica, kaldu jamur, pemanis stevia secukupnya )., Aduk hingga semua tercampur rata., Potong nori segi panjang menjadi beberapa bagian, disisi lain panaskan teflon dengan olesan sedikit minyak wijen., Taruh nori diatas teflon, lapisi dengan adonan hingga nori tertutup. Tutup teflon, Panggang dengan api yg  sangat kecil., Jika sudah hampir matang, balikkan perlahan., Sajikan di piring dengan nasi dan sayuran pilihan.",5,47.0,2.56,29.0,4.17,1.61,0.4,0.34,327.0,45.0,https://www.fatsecret.co.id/resep/56364737-udang-nori/Default.aspx,https://m.ftscrt.com/static/recipe/7955a85c-1945-434f-83c4-e4287f5fe9e3_sq.jpg,Healthy
Sawi Tahu,"Hidangan dengan bakso udang, tahu dan sayuran.","1 sedang telur, 1/2 sdt garam, 1 siung bawang putih, 10 ml air, 1/2 sdt gula pasir, 112 gram tahu, 117 gram pakcoy, 58 g bakso udang","Rebus bola udang, tahu, pakcoy. Tiriskan., Urak arik telur dan bawang putih tanpa minyak., Masukkan semua bahan dlm satu wadah, beri gula garam penyedap sedikit saja., Beri air sedikit saja, tunggu sebentar. Angkat. Sajikan.",1,246.0,11.19,186.0,19.47,18.6,1.3,4.26,1525.0,342.0,https://www.fatsecret.co.id/resep/45388262-sawi-tahu/Default.aspx,https://m.ftscrt.com/static/recipe/ec9f6427-a1c8-40b9-b401-3764138fb446_sq.jpg,Healthy
Steam Tofu Udang,Sup hangat cocok untuk hari hujan.,"125 gram udang, 2 sedang telur, 2 gram minyak wijen, 2 siung bawang putih, 1 sdt garam laut, 140 g egg tofu, 3 g kaldu jamur, 9 ml saus rasa tiram","Tumis bawang putih cincang pakai minyak wijen., Masukan udang hingga berubah warna., Tambahkan air secukupnya untuk membuat sup., Masukkan tofu hingga semua matang., Masukan garam saus tiram kaldu jamur., Masukan Kocokan telur aduk hingga berserabut. Tambahkan daun bawang (opsional).",6,77.0,3.94,105.0,8.84,2.04,0.0,0.12,578.0,60.0,https://www.fatsecret.co.id/resep/56952654-steam-tofu-udang/Default.aspx,https://m.ftscrt.com/static/recipe/67e6f98e-1c4c-44aa-a2b8-1791e821a1cd_sq.jpg,Healthy
